,date,btc_hashrate,eth_hashrate,ltc_hashrate,btc_tweets,eth_tweets,ltc_tweets,btc_transactions,eth_transactions,ltc_transactions,btc_marketcap,eth_marketcap,ltc_marketcap,btc_difficulty,eth_difficulty,ltc_difficulty
2204,2015-01-16,327862484774542976,null,1124727275634,26448,null,382,104560,null,4708,2847628951,null,48819076,43971662056,null,44782
2205,2015-01-17,298061232277865792,null,1135731438645,19187,null,541,90361,null,6269,2735406032,null,46747836,43971662056,null,44782
2206,2015-01-18,320532425146032960,null,1179257767282,24812,null,434,83033,null,5511,2816610797,null,46940202,43971662056,null,43567
2207,2015-01-19,345488243747700160,null,1097270237453,27548,null,764,98341,null,5351,2874518617,null,47442420,43971662056,null,40359
2208,2015-01-20,274144583498845248,null,1175028253445,26982,null,578,98807,null,5487,2864037000,null,46857376,43971662056,null,40359
2209,2015-01-21,284185028966422752,null,1117081260482,24660,null,702,96810,null,5055,2933439908,null,47820664,43971662056,null,40359
2210,2015-01-22,336092868154880832,null,1164356328996,25882,null,537,93563,null,4692,3134351199,null,50217325,43971662056,null,39896
2211,2015-01-23,280992351227268096,null,1237555635875,24058,null,619,91887,null,3433,3108729620,null,50093601,43971662056,null,39703
2212,2015-01-24,267318101546952128,null,1171950148811,32718,null,551,83431,null,4751,3212403738,null,60003253,43971662056,null,39703
2213,2015-01-25,279151050285748832,null,1242741857725,21312,null,736,86433,null,6468,3363456347,null,75859003,43971662056,null,40656
2214,2015-01-26,275002539628328608,null,1228568205378,33929,null,715,108054,null,5929,3761189379,null,77811450,43971662056,null,42151
2215,2015-01-27,295786158750588800,null,1241274983014,26135,null,572,99244,null,7047,3475148472,null,70852141,42957352412,null,42151
2216,2015-01-28,318722243173218048,null,1270384029894,27422,null,574,85068,null,7703,3316019670,null,68055221,41272873895,null,42151
2217,2015-01-29,339128091955828032,null,1260317861899,25184,null,788,90715,null,4369,3086924249,null,66534132,41272873895,null,43038
2218,2015-01-30,317705424562295296,null,1252007959359,22919,null,588,81061,null,5785,3113572364,null,67696205,41272873895,null,43057
2219,2015-01-31,302786161350195968,null,1227086420963,18146,null,494,86146,null,5827,3064178992,null,67644828,41272873895,null,43057
2220,2015-02-01,351588524791980608,null,1217749279180,19445,null,689,78839,null,4150,2964631958,null,63105563,41272873895,null,43030
2221,2015-02-02,306149327537087808,null,1265355169596,24761,null,574,85828,null,11732,3068438562,null,63667239,41272873895,null,43001
2222,2015-02-03,297902903995348800,null,1224593886437,33419,null,761,91666,null,4349,3193042085,null,66443180,41272873895,null,43001
2223,2015-02-04,307704335216044736,null,1210156748749,22995,null,678,90655,null,3543,3065757086,null,64238238,41272873895,null,43001
2224,2015-02-05,308079737056779712,null,1122416795317,28935,null,659,86408,null,4301,3037123088,null,63093053,41272873895,null,42427
2225,2015-02-06,349279889333801984,null,1241476654438,23289,null,676,85528,null,4776,3004046624,null,63970349,41272873895,null,42386
2226,2015-02-07,347685204159057920,null,1253342046312,19540,null,706,85540,null,13183,3072298807,null,64507768,41272873895,null,42386
2227,2015-02-08,291396969035133568,null,1155807446572,20792,null,804,82547,null,19857,3069732762,null,64385338,41272873895,null,42199
2228,2015-02-09,316692032522770368,null,1150659149947,24642,null,782,104597,null,18035,3020658795,null,62605851,42458914417,null,41904
2229,2015-02-10,341617353559520128,null,1098887168559,24331,null,741,102831,null,8879,2995936258,null,62857000,44455415962,null,41904
2230,2015-02-11,331519369809214464,null,1221826939542,39339,null,899,96890,null,9398,3012522905,null,62896016,44455415962,null,41904
2231,2015-02-12,311350992732329152,null,1213129404011,25742,null,609,87308,null,5586,2994629242,null,62507079,44455415962,null,41044
2232,2015-02-13,294169713164856000,null,1175900842171,27697,null,776,113514,null,7721,3164812966,null,65457743,44455415962,null,40795
2233,2015-02-14,345191928068330688,null,1214058310815,19041,null,457,98613,null,5423,3364875938,null,67738497,44455415962,null,40795
2234,2015-02-15,309126528005164352,null,1248090178313,21846,null,448,85127,null,4909,3431278474,null,68871903,44455415962,null,41232
